"port_code","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
"BEANR","L","Y",11,20,11,1,1,1,0,"Y","Y","Y","Y",12,51.2166666666667,4.4
"BEBGS","V","Y",8,NA,5,1,0,1,1,"Y","U","U","Y",12,51.2333333333333,3.21666666666667
"BEBRU","S","Y",3,11,3,1,1,1,1,"U","U","U","Y",12,50.8666666666667,4.35
"BEGNE","M","Y",11,14,11,1,1,0,1,"U","U","Y","Y",12,51.0666666666667,3.73333333333333
"BENIE","V","U",2,6,3,1,1,0,1,"U","Y","U","U",75,51.1333333333333,2.75
"BEOST","S","Y",5,6,5,1,1,1,1,"U","U","Y","Y",12,51.2333333333333,2.91666666666667
"BEZEE","M","N",9,8,14,0,1,0,1,"U","U","Y","Y",12,51.3333333333333,3.2
"DKAAB","S","U",11,23,6,0,1,0,1,"U","U","U","Y",12,55.05,9.43333333333333
"","V","U",3,6,5,1,0,0,0,"U","U","U","Y",12,54.8833333333333,10.4166666666667
"DKAUB","S","U",3,9,3,0,0,0,0,"U","U","U","U",0,54.95,9.86666666666667
"DKCSO","V","Y",2,NA,NA,0,0,0,1,"U","U","U","U",0,55.3166666666667,15.1833333333333
"DKENS","V","U",13,23,16,1,0,0,0,"U","U","Y","U",37,55.0166666666667,9.43333333333333
"DKEBJ","S","Y",9,11,8,0,1,0,1,"U","U","Y","U",37,55.4666666666667,8.45
"DKFAK","V","Y",3,5,3,0,1,0,1,"U","U","U","Y",12,55.2166666666667,12.1666666666667
"DKFRC","S","Y",14,14,5,1,1,0,1,"U","Y","Y","Y",12,55.5666666666667,9.76666666666667
"DKFDS","V","Y",2,3,5,1,0,0,1,"U","U","U","Y",12,55.8333333333333,12.05
"DKFDV","V","Y",3,9,5,1,0,0,1,"U","U","U","Y",12,55.9666666666667,12.0166666666667
"DKGFH","V","U",5,20,NA,0,0,0,0,"U","U","U","U",0,55.2,11.2666666666667
"DKHSL","V","Y",3,20,3,1,0,0,1,"U","U","U","Y",12,55.1833333333333,14.7
"DKHLS","V","Y",0,8,5,0,1,0,1,"U","U","Y","Y",12,56.0333333333333,12.6166666666667
"DKHBO","V","U",5,13,5,1,0,0,1,"U","U","U","Y",12,56.6333333333333,9.8
"DKHBK","V","U",5,3,5,1,1,0,1,"Y","Y","U","Y",12,55.7166666666667,11.7166666666667
"DKHSB","S","Y",3,3,3,0,1,0,1,"U","U","Y","Y",12,56.5,8.58333333333333
"DKKOG","V","Y",5,6,6,0,1,0,1,"U","U","Y","U",37,55.45,12.2
"DKKRR","S","Y",5,13,5,1,1,0,1,"U","U","U","Y",12,55.3333333333333,11.1333333333333
"DKLVG","V","U",2,3,3,1,1,0,1,"U","U","Y","Y",12,56.5833333333333,8.28333333333333
"DKMRR","V","Y",5,13,5,0,0,0,1,"U","U","U","U",0,56.65,9.98333333333333
"DKNEX","V","Y",5,13,5,1,0,0,0,"U","U","U","Y",12,55.0666666666667,15.1333333333333
"DKNYM","V","Y",5,NA,3,0,1,0,0,"U","U","Y","Y",12,56.7666666666667,11.8666666666667
"DKNTD","V","Y",3,3,3,0,0,0,1,"U","U","U","U",0,54.6666666666667,11.7333333333333
"DKRKG","V","Y",2,NA,2,0,1,0,1,"U","U","U","Y",12,56.0833333333333,8.25
"DKROF","V","U",5,9,3,0,1,1,0,"U","U","Y","Y",12,54.65,11.35
"DKSAX","S","U",2,2,2,1,1,0,0,"U","U","Y","Y",12,54.8,11.6333333333333
"DKSKB","V","Y",6,6,17,0,1,0,0,"U","U","U","Y",12,55.5166666666667,9.61666666666667
"DKSTE","V","Y",2,NA,3,0,0,0,1,"U","U","U","U",0,54.9833333333333,12.2833333333333
"DKSIT","V","Y",16,20,6,0,0,0,0,"U","U","U","Y",12,55.2,11.25
"DKSBK","S","Y",3,2,5,0,0,0,0,"U","U","U","U",0,54.8833333333333,12.05
"DKTED","V","Y",5,9,3,0,0,0,1,"U","U","U","U",0,56.95,8.7
"DKTHN","V","Y",5,5,5,1,0,0,0,"U","U","U","Y",12,56.7,8.21666666666667
"DKTUB","V","U",2,9,5,1,0,0,1,"U","U","U","Y",12,55.7166666666667,12.5833333333333
"DKVOR","V","Y",5,5,6,0,0,0,1,"U","U","U","Y",12,55,11.9
"DEBKE","M","U",8,8,11,1,1,0,0,"U","U","Y","Y",12,53.3333333333333,8.48333333333333
"DEBRE","L","U",8,8,5,1,1,1,0,"Y","Y","Y","Y",12,53.1333333333333,8.76666666666667
"DEBRV","L","Y",11,8,5,1,1,1,1,"Y","Y","Y","Y",12,53.5333333333333,8.58333333333333
"DEBRB","S","Y",11,11,11,0,0,0,1,"U","U","U","U",0,53.9,9.15
"DEBUM","V","Y",6,2,2,0,0,0,1,"U","U","U","U",0,54.1333333333333,8.86666666666667
"DEBUZ","S","U",13,6,14,0,0,0,1,"U","U","U","U",0,53.65,9.51666666666667
"DECUX","M","U",14,3,6,1,0,0,1,"U","Y","U","Y",12,53.8666666666667,8.71666666666667
"DEELS","V","Y",3,NA,3,1,0,0,1,"U","U","U","Y",12,53.2333333333333,8.46666666666667
"DEEME","M","Y",8,11,6,0,1,0,1,"U","Y","Y","Y",12,53.3333333333333,7.18333333333333
"DEGLU","S","Y",3,6,NA,1,0,0,1,"U","U","Y","Y",12,53.7833333333333,9.41666666666667
"DEHAM","L","Y",9,NA,6,1,1,1,1,"Y","Y","Y","Y",12,53.55,9.93333333333333
"DEHUS","V","Y",2,6,3,1,0,0,1,"U","U","U","Y",12,54.4833333333333,9.05
"DEITZ","V","Y",5,11,2,1,0,0,1,"U","U","U","Y",12,53.9166666666667,9.51666666666667
"DELEE","V","Y",3,8,3,1,1,1,1,"Y","Y","Y","Y",12,53.2333333333333,7.45
"DETRV","S","U",8,17,9,1,0,0,1,"U","U","Y","U",37,53.9666666666667,10.8833333333333
"DENEH","V","Y",3,11,2,0,0,0,1,"U","U","U","U",0,53.8,9.03333333333333
"DENGL","V","Y",5,5,5,0,0,0,1,"U","U","U","Y",12,54.1,10.8166666666667
"DENHA","S","U",11,8,13,1,1,0,1,"U","Y","Y","Y",12,53.4833333333333,8.48333333333333
"DEOLO","V","Y",2,NA,3,1,0,0,1,"U","Y","Y","Y",12,53.1166666666667,8.21666666666667
"DEORT","V","U",2,3,2,0,0,0,1,"U","U","U","U",0,54.45,11.05
"DEPAP","S","Y",3,8,5,1,1,0,0,"U","Y","U","Y",12,53.1,7.38333333333333
"DEREN","S","Y",11,NA,3,1,0,0,1,"U","U","U","Y",12,54.3,9.68333333333333
"DEWVN","S","Y",20,11,11,1,1,1,1,"Y","U","Y","Y",12,53.5333333333333,8.16666666666667
"DEWOL","V","U",5,8,5,1,1,0,1,"U","U","U","Y",12,54.05,13.7833333333333
"ESADR","V","U",8,14,5,1,0,0,1,"U","U","U","Y",12,36.7333333333333,-3.03333333333333
"ESAGU","V","U",14,20,11,1,0,0,0,"U","U","U","Y",12,37.4,-1.56666666666667
"ESALG","S","Y",6,23,23,1,1,0,1,"U","Y","Y","Y",12,36.1333333333333,-5.43333333333333
"ESALC","M","U",14,11,14,1,1,1,1,"U","U","Y","Y",12,38.3333333333333,-0.483333333333333
"ESLEI","S","Y",11,23,11,1,1,0,1,"U","U","U","Y",12,36.8333333333333,-2.46666666666667
"ESACE","V","U",5,23,14,0,1,0,1,"U","U","U","Y",12,28.95,-13.5333333333333
"ESAVS","S","Y",9,13,11,1,1,0,1,"U","U","Y","Y",12,43.6,-5.93333333333333
"ESBCN","L","U",9,23,16,1,1,0,1,"U","Y","Y","U",37,41.35,2.16666666666667
"ESBRM","V","U",5,23,5,0,1,0,0,"Y","Y","Y","Y",12,43.4166666666667,-2.71666666666667
"ESBRX","V","U",5,11,5,0,0,0,1,"U","U","U","U",0,39.8833333333333,-0.05
"ESCAD","M","Y",13,14,14,1,1,0,1,"U","Y","Y","Y",12,36.5333333333333,-6.3
"ESCAR","S","U",11,23,13,1,1,1,1,"U","U","Y","Y",12,37.5833333333333,-0.983333333333333
"ESCEU","M","N",NA,23,11,0,1,0,0,"U","U","Y","U",37,35.9,-5.31666666666667
"ESGCS","V","U",9,11,8,1,1,0,1,"Y","Y","Y","Y",12,39.9666666666667,0.0166666666666667
"ESFRO","M","U",11,11,14,1,1,1,1,"Y","Y","Y","Y",12,43.4833333333333,-8.23333333333333
"ESGIJ","S","U",19,6,20,1,1,1,1,"U","Y","Y","Y",12,43.55,-5.66666666666667
"ESHUV","M","U",13,20,13,1,1,0,1,"Y","Y","Y","Y",12,37.25,-6.95
"ESIBZ","V","U",8,23,20,0,0,0,0,"U","U","U","U",0,38.9,1.45
"ESLCG","S","N",17,13,16,1,1,0,1,"U","Y","Y","Y",12,43.3666666666667,-8.4
"ESLPA","L","N",11,23,22,1,1,1,1,"Y","Y","Y","Y",12,28.15,-15.4166666666667
"ESMAH","V","N",14,23,11,1,1,1,0,"U","Y","Y","Y",12,39.8833333333333,4.26666666666667
"ESAGP","M","N",13,23,17,1,1,0,1,"U","U","Y","Y",12,36.7166666666667,-4.41666666666667
"ESMPG","S","U",23,23,11,1,1,1,1,"U","Y","Y","Y",12,42.4,-8.7
"ESMOT","V","Y",11,14,9,1,1,0,0,"U","U","U","Y",12,36.75,-3.51666666666667
"ESPAL","S","U",19,17,17,1,1,0,0,"U","Y","Y","Y",12,41.8333333333333,3.11666666666667
"ESPMI","M","U",9,14,19,1,1,1,1,"U","U","Y","Y",12,39.5666666666667,2.63333333333333
"ESALD","V","N",6,13,6,1,0,0,0,"U","U","Y","Y",12,39.8333333333333,3.13333333333333
"ESBIO","M","U",6,23,20,1,1,1,0,"Y","Y","Y","Y",12,43.35,-3.05
"ESCRS","S","U",23,23,14,0,1,0,0,"U","U","U","Y",12,37,-1.88333333333333
"ESGAN","V","U",8,20,9,1,1,0,0,"U","U","Y","Y",12,39,-0.15
"ESGAR","V","U",NA,23,8,1,0,0,0,"U","U","U","U",0,37.1833333333333,-1.81666666666667
"ESFUE","V","U",13,17,11,0,0,0,0,"Y","Y","U","Y",12,28.5,-13.85
"ESPAS","M","U",9,23,11,1,1,1,1,"U","Y","Y","Y",12,43.3333333333333,-1.93333333333333
"ESRIB","V","Y",13,9,5,0,1,0,1,"U","U","Y","U",37,43.5333333333333,-7.03333333333333
"ESROS","V","U",6,17,3,1,0,0,0,"U","U","U","Y",12,42.2666666666667,3.18333333333333
"ESROT","V","U",9,9,11,1,0,0,1,"U","Y","U","U",75,36.6166666666667,-6.33333333333333
