"index_number","port_code","year","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
44750,"TRIZM",2022,"Large","Unknown",9.4,14,7.9,0,0,0,0,"Yes","Yes","Yes","Yes",12,38.433333,-27.133333
41640,"MEBAR",2022,"Small","No",17.1,23.2,9.4,0,0,0,0,"Unknown","Yes","Yes","Yes",12,42.083333,-19.083333
40860,"SIKOP",2022,"Small","No",12.5,17.1,12.5,0,0,0,0,"Unknown","Yes","Yes","Yes",12,45.55,-13.733333
39960,"ITNAP",2022,"Large","Yes",14,20.1,9.4,0,0,0,0,"Yes","Yes","Yes","Yes",12,40.833,-14.275
39810,"ITCVV",2022,"Large","Unknown",12.5,15.5,9.4,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,42.102,-11.771
39590,"ITLIV",2022,"Large","No",12.5,7.9,4.9,0,0,0,0,"Yes","Yes","Unknown","Unknown",75,43.542,-10.29
39520,"ITSPE",2022,"Large","Unknown",14,15.5,14,0,0,0,0,"Yes","Yes","Yes","Yes",12,44.1,-9.833333
39470,"ITGOA",2022,"Large","Yes",15.5,7.9,14,0,0,0,0,"Yes","Yes","Yes","Yes",12,44.398,-8.922
38810,"FRMRS",2022,"Small","Yes",12.5,11,15.5,0,0,0,0,"Yes","Yes","Yes","Yes",12,43.316667,-5.366667
38550,"ESBCN",2022,"Large","Unknown",9.4,23.2,15.5,0,0,0,0,"Unknown","Yes","Yes","Unknown",37,41.35,-2.166667
38430,"ESCAR",2022,"Small","Unknown",11,23.2,12.5,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,37.583333,-0.983333
38290,"ESCAD",2022,"Medium","Yes",12.5,14,14,0,0,0,0,"Unknown","Yes","Yes","Yes",12,36.533333,-6.3
38220,"ESHUV",2022,"Medium","Unknown",12.5,20.1,12.5,0,0,0,0,"Yes","Yes","Yes","Yes",12,37.25,-6.95
37990,"PTLIS",2022,"Large","Yes",14,15.5,17.1,0,0,0,0,"Unknown","Yes","Yes","Unknown",37,38.7,-9.166667
37860,"ESMPG",2022,"Small","Unknown",23.2,23.2,11,0,0,0,0,"Unknown","Yes","Yes","Yes",12,42.4,-8.7
37560,"ESGIJ",2022,"Small","Unknown",18.6,6.4,20.1,0,0,0,0,"Unknown","Yes","Yes","Yes",12,43.55,-5.666667
36900,"FRNTE",2022,"Medium","Yes",7.9,18.6,4.9,0,0,0,0,"Unknown","Yes","Yes","Yes",12,47.2,-1.566667
38310,"ESALG",2022,"Small","Yes",6.4,23.2,23.2,0,0,0,0,"Unknown","Yes","Yes","Yes",12,36.133333,-5.433333
40340,"MTMAR",2022,"Small","Unknown",14,23.2,15.5,0,0,0,0,"Unknown","Unknown","Yes","Unknown",37,35.816667,-14.55
43340,"TRGEM",2022,"Very Small","Yes",0,23.2,6.4,0,0,0,0,"Yes","Yes","Yes","Unknown",37,40.416667,-29.116667
44880,"TRISK",2022,"Very Small","Unknown",11,4.9,12.5,0,0,0,0,"Unknown","Yes","Yes","Yes",12,36.6,-36.166667
38370,"ESAGP",2022,"Medium","No",12.5,23.2,17.1,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,36.716667,-4.416667
40115,"ITGIT",2022,"Large","Unknown",17.1,18.6,15.5,0,0,0,0,"Unknown","Yes","Unknown","Unknown",75,38.444,-15.89
40270,"ITCTA",2022,"Medium","Unknown",11,23.2,9.4,0,0,0,0,"Unknown","Yes","Yes","Unknown",37,37.5,-15.1
44950,"CYLMS",2022,"Small","Unknown",14,23.2,14,0,0,0,0,"Unknown","Unknown","Yes","Unknown",37,34.666667,-33.05
44820,"TRAYT",2022,"Small","Unknown",6.4,20.1,4.9,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,36.833333,-30.616667
38440,"ESALC",2022,"Medium","Unknown",14,11,14,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,38.333333,-0.483333
39550,"ITMDC",2022,"Very Small","No",12.5,6.4,9.4,0,0,0,0,"Unknown","Yes","Yes","Yes",12,44.027,-10.047
43334,"TRALI",2022,"Very Small","Unknown",0,7.9,0,0,0,0,0,"Yes","Yes","Yes","Yes",12,38.833333,-26.933333
37950,"PTLEI",2022,"Very Small","Yes",14,20.1,11,0,0,0,0,"Unknown","Yes","Yes","Yes",12,41.183333,-8.7
38095,"PTPRV",2022,"Very Small","Unknown",17.1,23.2,12.5,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,38.716667,-27.05
37470,"ESSDR",2022,"Medium","No",11,21.6,12.5,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,43.466667,-3.783333
38000,"PTSET",2022,"Small","Unknown",11,6.4,14,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,38.516667,-8.9
38005,"PTSIE",2022,"Medium","Unknown",0,23.2,14,0,0,0,0,"Unknown","Yes","Yes","Unknown",37,37.95,-8.866667
42230,"GRPIR",2022,"Large","Unknown",23.2,23.2,15.5,0,0,0,0,"Unknown","Yes","Yes","Yes",12,37.933333,-23.65
35840,"FRLEH",2022,"Large","Yes",14,6.4,15.5,0,0,0,0,"Yes","Yes","Yes","Yes",12,49.483333,-0.116667
41410,"HRPLE",2022,"Very Small","Yes",9.4,23.2,3.4,0,0,0,0,"Unknown","Yes","Yes","Unknown",37,43.05,-17.433333
41010,"HRRJK",2022,"Large","Unknown",17.1,23.2,6.4,0,0,0,0,"Unknown","Yes","Yes","Yes",12,45.333333,-14.433333
40760,"ITVCE",2022,"Large","Unknown",11,12.5,7.9,0,0,0,0,"Yes","Yes","Yes","Yes",12,45.416667,-12.433333
38100,"PTPDL",2022,"Small","Unknown",7.9,12.5,11,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,37.733333,-25.666667
40040,"ITSAL",2022,"Small","Unknown",11,17.1,11,0,0,0,0,"Yes","Yes","Yes","Yes",12,40.666667,-14.75
40470,"ITTAR",2022,"Large","Yes",14,11,15.5,0,0,0,0,"Yes","Yes","Yes","Unknown",37,40.466667,-17.2
11450,"GPPTP",2022,"Medium","No",11,11,11,0,0,0,0,"Unknown","Yes","Yes","Yes",12,16.233333,-61.533333
40530,"ITBRI",2022,"Medium","Unknown",11,9.4,11,0,0,0,0,"Unknown","Unknown","Unknown","Yes",12,41.146,-16.846
40660,"ITAOI",2022,"Small","Unknown",11,11,7.9,0,0,0,0,"Unknown","Yes","Yes","Yes",12,43.629,-13.494
36460,"FRBES",2022,"Large","Yes",12.5,21.6,12.5,0,0,0,0,"Unknown","Yes","Yes","Yes",12,48.383333,-4.5
37900,"ESVGO",2022,"Medium","No",23.2,23.2,17.1,0,0,0,0,"Yes","Yes","Yes","Yes",12,42.233333,-8.716667
38480,"ESVLC",2022,"Medium","Unknown",15.5,17.1,17.1,0,0,0,0,"Unknown","Unknown","Yes","Yes",12,39.45,-0.316667
37830,"ESVIL",2022,"Very Small","Unknown",20.1,4.9,11,0,0,0,0,"Unknown","Unknown","Unknown","Yes",12,42.6,-8.766667
