"port_code","PLSCI","period"
"DZALG",114.72881,37
"DZAAE",44.47604,37
"DZAZW",9.67239,37
"DZBJA",58.08213,37
"DZMOS",48.11565,37
"DZORN",79.67071,37
"DZSKI",61.82839,37
"ASPPG",65.68019,37
"AOCAB",17.39802,37
"AOLOB",68.48632,37
"AOLAD",131.46008,37
"AOMAL",8.76222,37
"AOMSZ",19.84377,37
"AOSZA",35.85943,37
"AIAXA",13.69873,37
"AGSJO",41.94933,37
"ARBUE",273.35275,37
"ARMDQ",26.2443,37
"ARPUD",41.21663,37
"ARPMY",47.90603,37
"ARSAE",11.24727,37
"ARUSH",27.37536,37
"AWORJ",54.71206,37
"AUADL",108.92801,37
"AUBEL",45.92274,37
"AUBNE",257.86733,37
"AUBME",9.22182,37
"AUBWT",35.66512,37
"AUDAM",9.22182,37
"AUDRW",35.27389,37
"AUDPO",16.21308,37
"AUFRE",93.15373,37
"AUGLT",27.00999,37
"AUHBA",19.63022,37
"AUMEL",297.4959,37
"AUNTL",33.46545,37
"AUPTL",8.12316,37
"AUPHE",9.22182,37
"AUPKL",43.84467,37
"AUSYD",254.98803,37
"AUTSV",22.2273,37
"AUWYD",9.22182,37
"BSFPO",125.41816,37
"BSNAS",15.69083,37
"BHMIN",78.55991,37
"BDCHL",10.51322,37
"BDCGP",105.42605,37
"BDMGL",28.50643,37
"BBBGI",76.25766,37
"BEANR",1019.34848,37
"BEZEE",245.13618,37
"BZBZE",32.03341,37
"BJCOO",117.94826,37
"BMBDA",20.28552,37
"BQEUX",15.88164,37
"BRBEL",26.01471,37
"BRFOR",75.54332,37
"BRIBB",46.58638,37
"BRITJ",217.55337,37
"BRMCP",18.11548,37
"BRMAO",56.89489,37
"BRPNG",210.96998,37
"BRPEC",100.05301,37
"BRRIO",219.44649,37
"BRRIG",234.28026,37
"BRSSA",132.90912,37
"BRSSZ",373.49825,37
"BRSFS",135.38097,37
"BRIGI",133.79693,37
"BRSUA",100.4635,37
"BRVIC",18.11548,37
"BRVIX",127.02589,37
"VGRAD",24.28081,37
"BNMUA",54.9706,37
"BGBOJ",44.92832,37
"BGVAR",63.34257,37
"CVMIN",23.92857,37
"CVRAI",25.57964,37
"KHKOS",40.8722,37
"CMDLA",164.45791,37
"CANWP",10.84919,37
"CABAS",9.75411,37
"CACHM",18.22412,37
"CACBK",13.71775,37
"CAGOO",8.44869,37
"CAHAL",155.78753,37
"CALWP",8.44869,37
"CALIV",9.25008,37
"CAMNE",13.93286,37
"CAMTR",85.14807,37
"CANNO",21.69633,37
"CANWE",34.42471,37
"CAPTO",17.78044,37
"CASJB",32.58043,37
"CASBU",10.84919,37
"CASJF",20.59017,37
"CAVAN",227.32733,37
"KYGEC",21.74526,37
"CLANF",64.74917,37
"CLARI",61.13368,37
"CLCHB",8.22666,37
"CLCNR",22.12008,37
"CLIQQ",103.78541,37
"CLLQN",54.6447,37
"CLMJS",54.45824,37
"CLPUQ",8.22666,37
"CLSAI",129.71851,37
"CLSVE",75.929,37
"CLVAP",107.16523,37
"CNCWN",378.5893,37
"CNDLC",408.34258,37
"CNFAN",8.52669,37
"CNFQG",52.7163,37
"CNFOC",117.94119,37
"CNCAN",6.50675,37
"CNHAK",21.36611,37
"HKHKG",1631.42939,37
"CNHUA",76.24592,37
"CNJNZ",16.88626,37
"CNLYG",127.74091,37
"CNLKU",17.4822,37
"CNMWN",19.67975,37
"CNNJG",38.69496,37
"CNNSA",105.06476,37
"CNNTG",20.57452,37
"CNNGB",719.17112,37
"CNTAO",579.90877,37
"CNQZJ",50.82712,37
"CNRZH",22.956,37
"CNSHA",1234.64977,37
"CNSWA",50.22602,37
"CNSHK",385.02026,37
"CNSZX",13.71485,37
"CNSHD",18.31525,37
"TWKHH",855.39741,37
"TWKEL",495.71238,37
"TWTXG",289.70393,37
"CNTJP",38.66821,37
"CNWIH",31.39213,37
"CNXMN",502.87216,37
"CNXGG",442.07838,37
"CNYNT",65.83189,37
"CNYTN",563.2994,37
"CNYIK",49.06569,37
"CNZJG",27.72958,37
"CNZHA",9.72206,37
"CCCCK",6.44255,37
"COBAQ",91.1435,37
"COBUN",157.05581,37
"COCTG",244.8565,37
"COSMR",92.34624,37
"KMMUT",25.31581,37
"CDBOA",22.82049,37
"CDMAT",46.66824,37
"CGPNR",111.00967,37
"CKRAR",6.12253,37
"CRCAL",54.87144,37
"CRLIO",167.40483,37
"CIABJ",179.82148,37
"CISPY",69.34761,37
"HRPLE",14.22349,37
"HRRJK",66.21766,37
"CUHAV",76.69147,37
"CUMOA",10.87066,37
"CUSCU",8.49804,37
"CWWIL",85.87988,37
"CYLMS",139.44005,37
"DKAAL",20.25719,37
"DKAAR",118.06601,37
"DKCPH",34.69902,37
"DKEBJ",16.41276,37
