"port_code","reporter","urban node","airport","maritime port","inland port","rail road terminal","TENtec core port","TENtec comprehensive port","node score","Number of corridors","Name of corridors"
"NLRTM","Netherlands","Yes","Core","Core","Core","Core",1,0,5,2,"North Sea - Baltic, North Sea - Rhine - Mediterranean"
"DEHAM","Germany","Yes","Core","Core","Core","Core",1,0,5,3,"North Sea - Baltic, Scandinavian - Mediterranean, Rhine - Danube"
"BEANR","Belgium","Yes",NA,"Core","Core","Core",1,0,4,2,"North Sea - Baltic, North Sea - Rhine - Mediterranean"
"DEBRV","Germany","Yes",NA,"Core","Core","Core",1,0,4,3,"North Sea - Baltic, Scandinavian - Mediterranean, Rhine - Danube"
"ESVLC","Spain","Yes","Core","Core",NA,"Core (Fonteta de 
Saint Lluís)
Comprehensive (Silla)",0,0,4,1,"Mediterranean"
"ESALG","Spain","Yes",NA,"Core (Bahía de 
Algeciras)",NA,NA,1,0,2,2,"Mediterranean, Atlantic"
"GRPIR","Greece","Yes","Core","Core (Piraeus/Ikonio)",NA,"Core 
(Piraeus/Thriassio 
Pedio)",1,0,4,2,"Baltic Sea - Black Sea - Aegean Sea, Western Balkans - Eastern Mediterranean"
"ITGIT","Italy",NA,NA,"Core",NA,NA,1,0,1,1,"Scandinavian - Mediterranean"
"TRAMB","Turkey",NA,NA,NA,NA,NA,0,0,0,0,NA
"GBFXT","United Kingdom",NA,NA,NA,NA,NA,0,0,0,0,NA
"ESBCN","Spain","Yes","Core","Core",NA,"Core",1,0,4,1,"Mediterranean"
"ITGOA","Italy","Yes","Core","Core",NA,"Core",1,0,4,2,"Mediterranean, North Sea - Rhine - Mediterranean"
"FRLEH","France","Yes",NA,"Core","Core","Core",1,0,4,2,"Atlantic, North Sea - Rhine - Mediterranean"
"TRMER","Turkey",NA,NA,NA,NA,NA,NA,0,0,0,NA
"PLGDN","Poland","Yes","Core","Core",NA,"Core",1,0,4,2,"Baltic Sea - Adriatic Sea, Baltic Sea - Black Sea - Aegean Sea"
"ITSPE","Italy",NA,NA,"Core",NA,"Core (Santo Stefano 
di Magra)",1,0,2,2,"Mediterranean, Scandinavian - Mediterranean"
"TRIZT","Turkey",NA,NA,NA,NA,NA,0,0,0,0,NA
"GBSOU","United Kingdom",NA,NA,NA,NA,NA,0,0,0,0,NA
"PTSIE","Portugal",NA,NA,"Core",NA,"Core (ZILS & ZAL)",1,0,2,1,"Atlantic"
"FRMRS","France","Yes","Core","Core","Core","Core",1,0,5,2,"Mediterranean, North Sea - Rhine - Mediterranean"
"ESLPA","Spain","Yes","Core","Core",NA,NA,1,0,3,1,"Atlantic"
"GBLON","United Kingdom",NA,NA,NA,NA,NA,0,0,0,0,NA
"TRALI","Turkey",NA,NA,NA,NA,NA,0,0,0,0,NA
"TRTEK","Turkey",NA,NA,NA,NA,NA,0,0,0,0,NA
