port_code;big_investors;other_investors;all_investors
NLRTM;6;1;7
DEHAM;4;1;5
BEANR;4;2;6
DEBRV;3;1;4
ESVLC;3;1;4
ESALG;3;1;4
GRPIR;2;4;6
ITGIT;2;1;3
TRAMB;2;3;5
GBFXT;0;1;1
ESBCN;1;2;3
ITGOA;1;3;4
FRLEH;3;1;4
TRMER;1;2;3
PLGDN;1;1;2
ITSPE;0;1;1
TRIZT;2;1;3
GBSOU;1;1;2
PTSIE;0;5;5
FRMRS;3;2;5
ESLPA;1;2;3
GBLON;1;2;3
TRALI;1;2;3
TRTEK;2;1;3
SIKOP;0;1;1
SEGOT;1;2;3
PLGDY;0;2;2
TRGEM;0;3;3
ITLIV;0;3;3
IEDUB;0;3;3
ITTRS;2;1;3
BEZEE;1;2;3
PTLEI;0;1;1
ROCND;1;1;2
LTKLJ;3;1;4
TRIZM;1;1;2
ESBIO;1;2;3
GRSKG;0;3;3
DKAAR;2;1;3
GBLIV;1;2;3
PTLIS;0;2;2
ITCAG;1;2;3
FIHEL;0;2;2
ITNAP;0;3;3
FRDKK;1;1;2
LVRIX;0;4;4
DEWVN;3;3;6
TRISK;0;3;3
ESSCT;1;2;3
ITVCE;1;3;4
CYLMS;2;1;3
GBMME;0;4;4
HRRJK;0;2;2
NOOSL;0;2;2
REPDG;1;3;4
SEHEL;1;3;4
EETLL;1;1;2
IEORK;1;9;10
FIRAU;0;1;1
ESVGO;0;2;2
ITRAN;0;4;4
GBHUL;0;1;1
GBIMM;0;1;1
ESAGP;0;1;1
NLMOE;0;2;2
ITAOI;0;2;2
GBFOR;0;1;1
ESCAS;0;1;1
GBMED;0;1;1
ESALC;0;1;1
ITSAL;0;1;1
SEGVX;0;1;1
GBBEL;0;1;1
ITSVN;1;3;4
FRNTE;0;1;1
TRAYT;0;1;1
DELBC;0;1;1
ESSVQ;0;1;1
BGVAR;0;1;1
MTMAR;0;2;2
DKCPH;0;1;1
PTSET;0;1;1
ESCAD;0;1;1
FR_4;0;1;1
GPPTP;3;5;8
ESTAR;0;2;2
PTCNL;0;1;1
ITCVV;0;1;1
TRIST;0;1;1
ESPMI;0;1;1
PTPDL;0;1;1
DKFRC;0;1;1
BGBOJ;0;1;1
SENRK;0;1;1
PLSZZ;0;3;3
FRURO;0;2;2
GBBRS;0;1;1
ITTAR;0;1;1
NLZSP;0;1;1
ESCAR;0;1;1
NOLAR;0;1;1
TRSSX;0;1;1
DKAAL;0;1;1
ESGIJ;0;1;1
NOMSS;0;1;1
DECUX;0;1;1
ESMPG;0;1;1
ITBRI;0;1;1
NLAMS;0;1;1
NOKRS;0;1;1
IEWAT;0;1;1
ITMDC;0;1;1
GBPME;0;1;1
SESTO;0;1;1
ITCTA;0;1;1
BEGNE;0;3;3
ESSDR;0;1;1
ESHUV;0;1;1
GBTYN;0;1;1
NOGVL;0;1;1
FRBOD;2;2;4
SEHAD;0;2;2
NOFRK;0;1;1
ESVIL;0;1;1
DKEBJ;1;3;4
FRBES;1;2;3
DEKEL;0;1;1
SESDL;0;1;1
HRPLE;0;1;1
ESMLN;0;3;3
FIOUL;0;1;1
GBWPT;0;1;1
NOBRG;0;1;1
NOMJF;0;1;1
ESAGA;0;1;1
SESOE;0;1;1
GRHER;0;1;1
GRVOL;0;1;1
PTFDF;0;1;1
GBABD;0;1;1
ITPMO;0;1;1
SEMMA;0;1;1
TRTZX;0;1;1
SEUME;0;1;1
ESLEI;0;4;4
PTPRV;0;0;0
FITOR;0;1;1
SEVST;0;1;1
TRBDM;0;1;1
MEBAR;0;4;4
FIPOR;0;1;1
SEAHU;0;1;1
FRSET;0;1;1
ESCEU;0;1;1
DKKAL;1;3;4
FIKOK;0;1;1
DEBRE;1;3;4
GRLAV;0;1;1
SEVAG;0;1;1
SEOXE;0;1;1
GBGOO;0;1;1
FIKEM;0;1;1
GBCDF;0;1;1
DEAGE;0;1;1
SEPIT;0;1;1
ITTPS;0;1;1
ITPZL;0;1;1
MTMLA;0;3;3
SEIGG;0;1;1
ESQLY;0;1;1
ESQFU;0;1;1
EESLM;0;1;1
DEDUI;0;1;1
NOKAS;0;3;3
DEWMD;0;1;1
PTCDP;0;2;2
FIHKO;0;3;3
PTHOR;0;2;2
TRYAL;0;0;0
PTVEL;0;1;1
NOMQN;0;1;1
FITKU;0;1;1
DEEME;0;1;1
GBHRW;0;1;1
PTFNC;0;1;1
GBIPS;0;1;1
GREEU;0;1;1
IEDRO;0;1;1
