"port_code","ID_region","year","local_markets","foreign_markets","all_markets"
"BEANR","BE21",2002,1652.45,4809.8752113643,4975.1202113643
"BEANR","BE21",2004,1668.812,4852.37417668236,5019.25537668236
"BEANR","BE21",2006,1688.493,4895.44199039438,5064.29129039438
"BEANR","BE21",2009,1731.174,4959.29637306218,5132.41377306218
"BEANR","BE21",2012,1787.49,4996.18584143644,5174.93484143644
"BEANR","BE21",2013,1798.605,5013.2315956995,5193.0920956995
"BEANR","BE21",2015,1817.033,5052.03068922154,5233.73398922154
"BEANR","BE21",2017,1838.863,5100.96392422694,5284.85022422695
"BEANR","BE21",2018,1849.523,5119.73304875124,5304.68534875124
"BEGNE","BE23",2002,1366.652,4656.81401685363,4793.47921685363
"BEGNE","BE23",2004,1373.72,4699.36516776645,4836.73716776645
"BEGNE","BE23",2006,1389.45,4743.56154729749,4882.50654729748
"BEGNE","BE23",2009,1420.415,4809.73180678456,4951.77330678456
"BEGNE","BE23",2012,1457.428,4850.77107547451,4996.51387547451
"BEGNE","BE23",2013,1463.614,4868.10164967175,5014.46304967175
"BEGNE","BE23",2015,1479.049,4906.50041157674,5054.40531157674
"BEGNE","BE23",2017,1498.483,4952.74732228434,5102.59562228434
"BEGNE","BE23",2018,1506.232,4970.91544465339,5121.53864465339
"BEZEE","BE25",2002,1132.275,4525.83509510357,4639.06259510357
"BEZEE","BE25",2004,1135.802,4567.5972191505,4681.1774191505
"BEZEE","BE25",2006,1141.866,4612.08933447479,4726.27593447479
"BEZEE","BE25",2009,1155.29,4678.4550807239,4793.9840807239
"BEZEE","BE25",2012,1172.795,4719.69134462063,4836.97084462063
"BEZEE","BE25",2013,1175.903,4736.83156784317,4854.42186784317
"BEZEE","BE25",2015,1180.957,4775.18117227902,4893.27687227902
"BEZEE","BE25",2017,1188.407,4820.06808795397,4938.90878795397
"BEZEE","BE25",2018,1192.254,4837.91958416695,4957.14498416695
"BGBOJ","BG34",2002,1157.711,3025.91829230266,3141.68939230266
"BGBOJ","BG34",2004,1137.028,3064.45570241479,3178.15850241479
"BGBOJ","BG34",2006,1119.05,3105.98594258948,3217.89094258948
"BGBOJ","BG34",2009,1094.253,3157.16998576152,3266.59528576152
"BGBOJ","BG34",2012,1072.85,3182.08409764707,3289.36909764707
"BGBOJ","BG34",2013,1056.227,3191.34455158027,3296.96725158027
"BGBOJ","BG34",2015,1031.248,3215.31246280759,3318.43726280759
"BGBOJ","BG34",2017,1004.948,3241.37055837212,3341.86535837212
"BGBOJ","BG34",2018,991.373,3252.49196378432,3351.62926378432
"BGVAR","BG33",2002,1013.873,2998.03743346195,3099.42473346195
"BGVAR","BG33",2004,1001.647,3033.58688762286,3133.75158762286
"BGVAR","BG33",2006,991.217,3072.05697370835,3171.17867370835
"BGVAR","BG33",2009,976.062,3119.92029237024,3217.52649237024
"BGVAR","BG33",2012,961.965,3138.73300403489,3234.92950403489
"BGVAR","BG33",2013,938.594,3147.55635156078,3241.41575156078
"BGVAR","BG33",2015,910.699,3169.86135832201,3260.93125832201
"BGVAR","BG33",2017,881.513,3194.20149344218,3282.35279344218
"BGVAR","BG33",2018,866.648,3204.40327382973,3291.06807382973
"CYLMS","CY00",2002,705.539,2056.17680673048,2126.73070673048
"CYLMS","CY00",2004,722.893,2088.94230607375,2161.23160607375
"CYLMS","CY00",2006,744.013,2123.63714199547,2198.03844199547
"CYLMS","CY00",2009,796.93,2165.83396135232,2245.52696135232
"CYLMS","CY00",2012,862.011,2193.66491880906,2279.86601880906
"CYLMS","CY00",2013,865.878,2202.94476647683,2289.53256647683
"CYLMS","CY00",2015,847.008,2225.12292860744,2309.82372860744
"CYLMS","CY00",2017,854.802,2249.61168703307,2335.09188703307
"CYLMS","CY00",2018,864.236,2260.12209808873,2346.54569808873
"DEAGE","DE94",2002,2442.21,4265.8613379958,4510.0823379958
"DEAGE","DE94",2004,2465.229,4300.16292450999,4546.68582450999
"DEAGE","DE94",2006,2475.459,4334.11452690778,4581.66042690778
"DEAGE","DE94",2009,2477.771,4381.88667598145,4629.66377598145
"DEAGE","DE94",2012,2437.727,4398.02055417161,4641.79325417161
"DEAGE","DE94",2013,2442.205,4411.0635232698,4655.2840232698
"DEAGE","DE94",2015,2460.857,4442.49907792102,4688.58477792102
"DEAGE","DE94",2017,2506.155,4485.48802486166,4736.10352486166
"DEAGE","DE94",2018,2516.457,4500.47846231005,4752.12416231005
"DEBRE","DE50",2002,659.651,4262.92894757145,4328.89404757145
"DEBRE","DE50",2004,663.129,4296.57867110836,4362.89157110836
"DEBRE","DE50",2006,663.467,4329.63950362999,4395.98620362999
"DEBRE","DE50",2009,661.866,4375.39560400774,4441.58220400774
"DEBRE","DE50",2012,652.182,4386.26099637509,4451.47919637509
"DEBRE","DE50",2013,654.774,4398.96501299081,4464.44241299081
"DEBRE","DE50",2015,661.888,4430.16054664017,4496.34934664017
"DEBRE","DE50",2017,678.753,4473.76291196323,4541.63821196323
"DEBRE","DE50",2018,681.032,4488.69555087975,4556.79875087975
"DEBRV","DE50",2002,659.651,4262.92894757145,4328.89404757145
"DEBRV","DE50",2004,663.129,4296.57867110836,4362.89157110836
"DEBRV","DE50",2006,663.467,4329.63950362999,4395.98620362999
"DEBRV","DE50",2009,661.866,4375.39560400774,4441.58220400774
"DEBRV","DE50",2012,652.182,4386.26099637509,4451.47919637509
"DEBRV","DE50",2013,654.774,4398.96501299081,4464.44241299081
"DEBRV","DE50",2015,661.888,4430.16054664017,4496.34934664017
"DEBRV","DE50",2017,678.753,4473.76291196323,4541.63821196323
"DEBRV","DE50",2018,681.032,4488.69555087975,4556.79875087975
"DECUX","DE93",2002,1683.438,4194.68993376958,4363.03373376958
"DECUX","DE93",2004,1698.434,4226.36067760312,4396.20407760312
"DECUX","DE93",2006,1704.133,4258.12517712595,4428.53847712595
"DECUX","DE93",2009,1696.643,4302.98420075522,4472.64850075522
"DECUX","DE93",2012,1667.127,4311.36874742072,4478.08144742072
"DECUX","DE93",2013,1667.332,4324.09826038352,4490.83146038352
"DECUX","DE93",2015,1677.715,4354.83143231929,4522.60293231929
"DECUX","DE93",2017,1703.945,4397.72531529432,4568.11981529432
"DECUX","DE93",2018,1706.464,4412.57804214294,4583.22444214295
"DEDUI","DEA1",2002,5255.328,4738.50521298564,5264.03801298564
"DEDUI","DEA1",2004,5245.132,4778.66111566172,5303.17431566172
"DEDUI","DEA1",2006,5226.648,4818.0835579067,5340.7483579067
"DEDUI","DEA1",2009,5191.042,4873.374155766,5392.478355766
"DEDUI","DEA1",2012,5077.103,4896.19905126184,5403.90935126184
"DEDUI","DEA1",2013,5081.061,4911.44110945386,5419.54720945386
"DEDUI","DEA1",2015,5108.29,4947.29764088285,5458.12664088285
"DEDUI","DEA1",2017,5190.79,4995.0802834946,5514.1592834946
"DEDUI","DEA1",2018,5198.82,5012.24077851466,5532.12277851466
"DEEME","DE94",2002,2442.21,4265.8613379958,4510.0823379958
"DEEME","DE94",2004,2465.229,4300.16292450999,4546.68582450999
"DEEME","DE94",2006,2475.459,4334.11452690778,4581.66042690778
"DEEME","DE94",2009,2477.771,4381.88667598145,4629.66377598145
"DEEME","DE94",2012,2437.727,4398.02055417161,4641.79325417161
"DEEME","DE94",2013,2442.205,4411.0635232698,4655.2840232698
"DEEME","DE94",2015,2460.857,4442.49907792102,4688.58477792102
"DEEME","DE94",2017,2506.155,4485.48802486166,4736.10352486166
"DEEME","DE94",2018,2516.457,4500.47846231005,4752.12416231005
"DEHAM","DE60",2002,1726.363,4081.9392332778,4254.5755332778
"DEHAM","DE60",2004,1734.083,4113.67657844039,4287.08487844039
"DEHAM","DE60",2006,1743.627,4145.01256651678,4319.37526651678
"DEHAM","DE60",2009,1772.1,4187.70592817703,4364.91592817703
"DEHAM","DE60",2012,1718.187,4198.60547789656,4370.42417789656
"DEHAM","DE60",2013,1734.272,4210.21662028877,4383.64382028877
"DEHAM","DE60",2015,1762.791,4239.38938589398,4415.66848589399
"DEHAM","DE60",2017,1810.438,4280.06417387975,4461.10797387976
"DEHAM","DE60",2018,1830.584,4293.6928883556,4476.7512883556
"DEKEL","DEF0",2002,2804.249,3806.36015983873,4086.78505983873
"DEKEL","DEF0",2004,2823.171,3836.62285915399,4118.93995915399
"DEKEL","DEF0",2006,2832.95,3867.47893496269,4150.77393496269
"DEKEL","DEF0",2009,2834.26,3911.52193659186,4194.94793659186
"DEKEL","DEF0",2012,2802.266,3924.40758416187,4204.63418416187
"DEKEL","DEF0",2013,2806.531,3936.23519834929,4216.88829834929
"DEKEL","DEF0",2015,2830.864,3964.37576931159,4247.46216931159
"DEKEL","DEF0",2017,2881.926,4002.33599523242,4290.52859523242
"DEKEL","DEF0",2018,2889.821,4016.09448920643,4305.07658920643
"DELBC","DEF0",2002,2804.249,3806.36015983873,4086.78505983873
"DELBC","DEF0",2004,2823.171,3836.62285915399,4118.93995915399
"DELBC","DEF0",2006,2832.95,3867.47893496269,4150.77393496269
"DELBC","DEF0",2009,2834.26,3911.52193659186,4194.94793659186
"DELBC","DEF0",2012,2802.266,3924.40758416187,4204.63418416187
"DELBC","DEF0",2013,2806.531,3936.23519834929,4216.88829834929
"DELBC","DEF0",2015,2830.864,3964.37576931159,4247.46216931159
"DELBC","DEF0",2017,2881.926,4002.33599523242,4290.52859523242
"DELBC","DEF0",2018,2889.821,4016.09448920643,4305.07658920643
"DEWMD","DE94",2002,2442.21,4265.8613379958,4510.0823379958
"DEWMD","DE94",2004,2465.229,4300.16292450999,4546.68582450999
"DEWMD","DE94",2006,2475.459,4334.11452690778,4581.66042690778
"DEWMD","DE94",2009,2477.771,4381.88667598145,4629.66377598145
"DEWMD","DE94",2012,2437.727,4398.02055417161,4641.79325417161
"DEWMD","DE94",2013,2442.205,4411.0635232698,4655.2840232698
"DEWMD","DE94",2015,2460.857,4442.49907792102,4688.58477792102
"DEWMD","DE94",2017,2506.155,4485.48802486166,4736.10352486166
"DEWMD","DE94",2018,2516.457,4500.47846231005,4752.12416231005
"DEWVN","DE94",2002,2442.21,4265.8613379958,4510.0823379958
"DEWVN","DE94",2004,2465.229,4300.16292450999,4546.68582450999
"DEWVN","DE94",2006,2475.459,4334.11452690778,4581.66042690778
"DEWVN","DE94",2009,2477.771,4381.88667598145,4629.66377598145
"DEWVN","DE94",2012,2437.727,4398.02055417161,4641.79325417161
"DEWVN","DE94",2013,2442.205,4411.0635232698,4655.2840232698
"DEWVN","DE94",2015,2460.857,4442.49907792102,4688.58477792102
"DEWVN","DE94",2017,2506.155,4485.48802486166,4736.10352486166
"DEWVN","DE94",2018,2516.457,4500.47846231005,4752.12416231005
"DKAAL","DK05",2002,582.074788175003,3105.01500609103,3163.22248490853
"DKAAL","DK05",2004,581.554393671738,3132.34136503067,3190.49680439784
"DKAAL","DK05",2006,581.03446441872,3160.77125773085,3218.87470417272
"DKAAL","DK05",2009,580.515,3202.06495193668,3260.11645193668
"DKAAL","DK05",2012,579.996,3220.80711650932,3278.80671650932
"DKAAL","DK05",2013,580.272,3231.12809446828,3289.15529446828
"DKAAL","DK05",2015,582.632,3255.25339323169,3313.51659323169
"DKAAL","DK05",2017,587.335,3286.10245470496,3344.83595470496
"DKAAL","DK05",2018,589.148,3297.95253415186,3356.86733415186
"DKAAR","DK04",2002,1192.5660897573,3265.14014572259,3384.39675469832
"DKAAR","DK04",2004,1210.67825438952,3292.85906313015,3413.92688856911
"DKAAR","DK04",2006,1229.06549854186,3321.56283249089,3444.46938234508
"DKAAR","DK04",2009,1247.732,3363.17423767065,3487.94743767065
"DKAAR","DK04",2012,1266.682,3380.65009181021,3507.31829181021
"DKAAR","DK04",2013,1272.51,3391.12822617635,3518.37922617635
"DKAAR","DK04",2015,1282.75,3416.01079196064,3544.28579196064
"DKAAR","DK04",2017,1304.253,3448.10454790552,3578.52984790552
"DKAAR","DK04",2018,1313.596,3460.18090608354,3591.54050608354
"DKCPH","DK01",2002,1514.7530801097,3343.85249512063,3495.3278031316
"DKCPH","DK01",2004,1562.41497028019,3370.33203221741,3526.57352924543
"DKCPH","DK01",2006,1611.57654763037,3397.80905387166,3558.9667086347
"DKCPH","DK01",2009,1662.285,3438.3204535816,3604.5489535816
"DKCPH","DK01",2012,1714.589,3453.15938447702,3624.61828447702
"DKCPH","DK01",2013,1732.068,3463.2228418514,3636.4296418514
"DKCPH","DK01",2015,1768.125,3487.50949508676,3664.32199508676
"DKCPH","DK01",2017,1807.404,3519.50428584031,3700.24468584031
"DKCPH","DK01",2018,1822.659,3531.61961799912,3713.88551799912
"DKEBJ","DK03",2002,1194.65599943414,3494.44303865425,3613.90863859766
"DKEBJ","DK03",2004,1196.324002971,3523.93276680758,3643.56516710468
"DKEBJ","DK03",2006,1197.99433540907,3554.17388041511,3673.97331395602
"DKEBJ","DK03",2009,1199.667,3597.34416205105,3717.31086205105
