"port_code","period","partner_number"
"DKAAL",1,1
"DKAAL",2,1
"DKAAL",3,3
"DKAAL",4,1
"DKAAL",5,1
"DKAAL",6,1
"DKAAL",7,1
"DKAAL",8,1
"DKAAL",9,1
"DKAAL",10,1
"DKAAL",11,2
"DKAAL",12,1
"DKAAL",13,1
"DKAAL",14,2
"DKAAL",15,1
"DKAAL",16,1
"DKAAL",17,1
"DKAAL",18,1
"DKAAL",19,2
"DKAAL",20,1
"DKAAL",21,1
"DKAAL",22,1
"DKAAL",23,1
"DKAAL",24,1
"DKAAL",25,1
"DKAAL",26,2
"DKAAL",27,2
"DKAAL",28,1
"DKAAL",29,1
"DKAAL",30,1
"DKAAL",31,2
"DKAAL",32,2
"DKAAL",33,2
"DKAAL",34,3
"DKAAL",35,3
"DKAAL",36,3
"DKAAL",37,3
"DKAAL",38,2
"DKAAL",39,4
"DKAAL",40,4
"DKAAL",41,4
"DKAAL",42,4
"DKAAL",43,2
"DKAAL",44,2
"DKAAL",45,1
"DKAAL",46,1
"DKAAL",47,1
"DKAAL",48,1
"DKAAL",49,1
"DKAAL",50,1
"DKAAL",51,1
"DKAAL",52,1
"DKAAL",53,3
"DKAAL",54,2
"DKAAL",55,3
"DKAAL",56,6
"DKAAL",57,4
"DKAAL",58,5
"DKAAL",59,5
"DKAAL",60,6
"DKAAL",61,6
"DKAAL",62,7
"DKAAL",63,6
"DKAAL",64,7
"DKAAL",65,4
"DKAAL",66,2
"DKAAL",67,3
"DKAAL",68,4
"DKAAL",69,7
"DKAAL",70,9
"DKAAL",71,5
"DKAAL",72,6
"DKAAL",73,5
"DKAAL",74,5
"DKAAL",75,4
"DKAAL",76,6
"DKAAL",77,8
"DKAAL",78,9
"DKAAL",79,11
"DKAAL",80,10
"DKAAL",81,9
"DKAAL",82,7
"DKAAL",83,10
"DKAAL",84,8
"DKAAL",85,7
"DKAAL",86,5
"DKAAL",87,4
"DKAAL",88,7
"DKAAL",89,7
"DKAAL",90,7
"DKAAL",91,7
"DKAAL",92,7
"DKAAL",93,5
"DKAAL",94,8
"DKAAL",95,8
"DKAAL",96,8
"DKAAL",97,8
"DKAAL",98,7
"DKAAL",99,7
"DKAAL",100,8
"DKAAL",101,7
"DKAAL",102,6
"DKAAL",103,5
"DKAAL",104,5
"DKAAL",105,4
"GBABD",13,4
"GBABD",14,4
"GBABD",15,5
"GBABD",16,5
"GBABD",17,5
"GBABD",18,5
"GBABD",19,6
"GBABD",20,7
"GBABD",21,8
"GBABD",22,8
"GBABD",23,9
"GBABD",24,8
"GBABD",25,6
"GBABD",26,8
"GBABD",27,9
"GBABD",28,6
"GBABD",29,7
"GBABD",30,7
"GBABD",31,1
"GBABD",32,2
"GBABD",33,4
"GBABD",34,6
"GBABD",35,2
"GBABD",36,2
"GBABD",37,4
"GBABD",38,3
"GBABD",39,3
"GBABD",40,2
"GBABD",41,4
"GBABD",42,4
"GBABD",43,3
"GBABD",44,5
"GBABD",45,2
"GBABD",46,3
"GBABD",47,2
"GBABD",48,2
"GBABD",49,2
"GBABD",50,2
"GBABD",51,3
"GBABD",52,11
"GBABD",53,9
"GBABD",54,11
"GBABD",55,5
"GBABD",56,11
"GBABD",57,8
"GBABD",58,9
"GBABD",59,11
"GBABD",60,11
"GBABD",61,10
"GBABD",62,14
"GBABD",63,10
"GBABD",64,11
"GBABD",65,11
"GBABD",66,12
"GBABD",67,13
"GBABD",68,12
"GBABD",69,10
"GBABD",70,12
"GBABD",71,9
"GBABD",72,10
"GBABD",73,8
"GBABD",74,8
"GBABD",75,10
"GBABD",76,8
"GBABD",77,7
"GBABD",78,4
"GBABD",79,6
"GBABD",80,5
"GBABD",81,3
"GBABD",82,5
"GBABD",83,3
"GBABD",84,2
"GBABD",85,3
"GBABD",86,2
"GBABD",87,2
"GBABD",88,2
"GBABD",89,2
"GBABD",90,3
"GBABD",91,3
"GBABD",92,2
"GBABD",93,2
"GBABD",94,2
"ESALG",13,65
"ESALG",14,64
"ESALG",15,72
"ESALG",16,61
"ESALG",17,66
"ESALG",18,65
"ESALG",19,68
"ESALG",20,70
"ESALG",21,64
"ESALG",22,128
"ESALG",23,134
"ESALG",24,131
"ESALG",25,133
"ESALG",26,133
"ESALG",27,129
"ESALG",28,132
"ESALG",29,134
"ESALG",30,134
"ESALG",31,138
"ESALG",32,137
"ESALG",33,134
"ESALG",34,132
"ESALG",35,132
"ESALG",36,93
"ESALG",37,102
"ESALG",38,98
"ESALG",39,121
"ESALG",40,112
"ESALG",41,113
"ESALG",42,127
"ESALG",43,128
"ESALG",44,132
"ESALG",45,135
"ESALG",46,125
"ESALG",47,130
"ESALG",48,132
"ESALG",49,127
"ESALG",50,130
"ESALG",51,127
"ESALG",52,126
"ESALG",53,125
"ESALG",54,130
"ESALG",55,125
"ESALG",56,128
"ESALG",57,125
"ESALG",58,127
"ESALG",59,127
"ESALG",60,133
"ESALG",61,132
"ESALG",62,131
"ESALG",63,130
"ESALG",64,131
"ESALG",65,131
"ESALG",66,133
"ESALG",67,131
"ESALG",68,128
"ESALG",69,132
"ESALG",70,131
"ESALG",71,129
"ESALG",72,133
"ESALG",73,132
"ESALG",74,138
"ESALG",75,135
"ESALG",76,136
"ESALG",77,140
"ESALG",78,139
"ESALG",79,140
"ESALG",80,141
"ESALG",81,141
"ESALG",82,144
"ESALG",83,141
"ESALG",84,143
"ESALG",85,144
"ESALG",86,150
"ESALG",87,143
"ESALG",88,146
"ESALG",89,140
"ESALG",90,146
"ESALG",91,149
"ESALG",92,145
"ESALG",93,146
"ESALG",94,144
"ESALG",95,145
"ESALG",96,146
"ESALG",97,145
"ESALG",98,144
"ESALG",99,142
"ESALG",100,141
"ESALG",101,147
"ESALG",102,150
"ESALG",103,147
"ESALG",104,143
"ESALG",105,146
"TRALI",53,11
"TRALI",54,19
"TRALI",55,19
"TRALI",56,20
"TRALI",57,17
"TRALI",58,19
"TRALI",59,18
"TRALI",60,22
"TRALI",61,22
"TRALI",62,20
"TRALI",63,22
"TRALI",64,21
"TRALI",65,24
"TRALI",66,21
"TRALI",67,21
"TRALI",68,20
"TRALI",69,22
"TRALI",70,25
"TRALI",71,32
"TRALI",72,25
"TRALI",73,25
"TRALI",74,31
"TRALI",75,34
"TRALI",76,34
"TRALI",77,31
"TRALI",78,31
"TRALI",79,35
"TRALI",80,29
"TRALI",81,29
"TRALI",82,33
"TRALI",83,35
"TRALI",84,33
"TRALI",85,46
"TRALI",86,40
"TRALI",87,44
"TRALI",88,47
"TRALI",89,42
"TRALI",90,44
"TRALI",91,41
"TRALI",92,42
"TRALI",93,44
"TRALI",94,39
"TRALI",95,37
"TRALI",96,42
"TRALI",97,41
"TRALI",98,43
"TRALI",99,41
"TRALI",100,42
"TRALI",101,37
"TRALI",102,41
"TRALI",103,40
"TRALI",104,41
"TRALI",105,46
"ESALC",13,6
"ESALC",14,52
"ESALC",15,52
"ESALC",16,25
"ESALC",17,33
"ESALC",18,40
"ESALC",19,19
"ESALC",20,35
"ESALC",21,11
"ESALC",22,50
"ESALC",23,47
"ESALC",24,41
"ESALC",25,30
"ESALC",26,37
"ESALC",27,40
"ESALC",28,40
"ESALC",29,35
"ESALC",30,38
"ESALC",31,30
"ESALC",32,38
"ESALC",33,37
"ESALC",34,26
"ESALC",35,27
"ESALC",36,28
"ESALC",37,32
"ESALC",38,49
"ESALC",39,35
"ESALC",40,63
"ESALC",41,54
"ESALC",42,61
"ESALC",43,61
"ESALC",44,55
"ESALC",45,53
"ESALC",46,62
"ESALC",47,53
"ESALC",48,53
"ESALC",49,54
"ESALC",50,57
"ESALC",51,58
"ESALC",52,49
"ESALC",53,55
"ESALC",54,65
"ESALC",55,74
"ESALC",56,66
"ESALC",57,73
"ESALC",58,66
"ESALC",59,69
"ESALC",60,65
"ESALC",61,51
"ESALC",62,58
"ESALC",63,48
"ESALC",64,36
"ESALC",65,34
"ESALC",66,43
"ESALC",67,41
"ESALC",68,38
"ESALC",69,38
"ESALC",70,38
"ESALC",71,37
"ESALC",72,37
"ESALC",73,29
"ESALC",74,33
"ESALC",75,33
"ESALC",76,32
"ESALC",77,34
"ESALC",78,28
"ESALC",79,31
"ESALC",80,29
"ESALC",81,27
"ESALC",82,26
"ESALC",83,24
"ESALC",84,31
"ESALC",85,29
"ESALC",86,30
"ESALC",87,24
"ESALC",88,27
"ESALC",89,21
"ESALC",90,26
"ESALC",91,29
"ESALC",92,31
"ESALC",93,37
"ESALC",94,32
"ESALC",95,30
"ESALC",96,39
"ESALC",97,31
"ESALC",98,32
"ESALC",99,32
"ESALC",100,40
"ESALC",101,40
"ESALC",102,52
"ESALC",103,37
"ESALC",104,44
"ESALC",105,39
"TRAMB",53,30
"TRAMB",54,35
"TRAMB",55,35
"TRAMB",56,36
"TRAMB",57,38
"TRAMB",58,38
"TRAMB",59,36
"TRAMB",60,45
"TRAMB",61,36
"TRAMB",62,47
"TRAMB",63,41
"TRAMB",64,44
"TRAMB",65,45
"TRAMB",66,49
"TRAMB",67,46
"TRAMB",68,43
"TRAMB",69,43
"TRAMB",70,55
"TRAMB",71,99
"TRAMB",72,104
"TRAMB",73,64
"TRAMB",74,67
"TRAMB",75,63
"TRAMB",76,65
"TRAMB",77,57
"TRAMB",78,66
"TRAMB",79,61
"TRAMB",80,57
"TRAMB",81,59
"TRAMB",82,60
"TRAMB",83,65
"TRAMB",84,64
"TRAMB",85,58
"TRAMB",86,54
"TRAMB",87,50
"TRAMB",88,55
"TRAMB",89,51
"TRAMB",90,56
"TRAMB",91,59
"TRAMB",92,55
"TRAMB",93,60
"TRAMB",94,48
"TRAMB",95,48
"TRAMB",96,52
"TRAMB",97,52
"TRAMB",98,50
"TRAMB",99,53
"TRAMB",100,55
"TRAMB",101,46
"TRAMB",102,44
"TRAMB",103,44
"TRAMB",104,43
"TRAMB",105,40
"NLAMS",1,47
"NLAMS",2,47
"NLAMS",3,22
"NLAMS",4,20
"NLAMS",5,26
"NLAMS",6,25
"NLAMS",7,13
"NLAMS",8,25
"NLAMS",9,20
"NLAMS",10,23
"NLAMS",11,19
"NLAMS",12,20
"NLAMS",13,21
"NLAMS",14,18
"NLAMS",15,16
"NLAMS",16,18
"NLAMS",17,28
"NLAMS",18,19
"NLAMS",19,17
"NLAMS",20,15
"NLAMS",21,20
"NLAMS",22,20
"NLAMS",23,18
"NLAMS",24,14
"NLAMS",25,18
"NLAMS",26,15
"NLAMS",27,19
"NLAMS",28,17
"NLAMS",29,22
"NLAMS",30,20
"NLAMS",31,16
"NLAMS",32,15
"NLAMS",33,26
"NLAMS",34,24
"NLAMS",35,24
"NLAMS",36,32
"NLAMS",37,36
"NLAMS",38,43
"NLAMS",39,41
"NLAMS",40,36
"NLAMS",41,40
"NLAMS",42,34
"NLAMS",43,37
"NLAMS",44,35
"NLAMS",45,40
"NLAMS",46,36
"NLAMS",47,30
"NLAMS",48,36
"NLAMS",49,22
"NLAMS",50,20
"NLAMS",51,18
"NLAMS",52,23
"NLAMS",53,21
"NLAMS",54,16
"NLAMS",55,16
"NLAMS",56,19
"NLAMS",57,27
"NLAMS",58,18
"NLAMS",59,23
"NLAMS",60,34
"NLAMS",61,20
"NLAMS",62,14
"NLAMS",63,13
"NLAMS",64,27
"NLAMS",65,17
"NLAMS",66,10
"NLAMS",67,8
"NLAMS",68,20
"NLAMS",69,12
"NLAMS",70,9
"NLAMS",71,7
"NLAMS",72,7
"NLAMS",73,12
"NLAMS",74,15
"NLAMS",75,11
"NLAMS",76,9
"NLAMS",77,17
"NLAMS",78,12
"NLAMS",79,17
"NLAMS",80,14
"NLAMS",81,19
"NLAMS",82,10
"NLAMS",83,8
"NLAMS",84,10
"NLAMS",85,15
"NLAMS",86,9
"NLAMS",87,12
"NLAMS",88,11
"NLAMS",89,12
"NLAMS",90,11
"NLAMS",91,12
"NLAMS",92,11
"NLAMS",93,12
"NLAMS",94,8
"NLAMS",95,11
"NLAMS",96,13
"NLAMS",97,17
"NLAMS",98,16
"NLAMS",99,15
"NLAMS",100,16
"NLAMS",101,12
"NLAMS",102,19
"NLAMS",103,11
"NLAMS",104,11
"NLAMS",105,11
"ITAOI",13,31
"ITAOI",14,25
"ITAOI",15,28
"ITAOI",16,34
"ITAOI",17,25
"ITAOI",18,29
"ITAOI",19,28
"ITAOI",20,28
"ITAOI",21,28
"ITAOI",22,31
"ITAOI",23,25
"ITAOI",24,38
"ITAOI",25,25
"ITAOI",26,23
"ITAOI",27,18
"ITAOI",28,20
"ITAOI",29,16
"ITAOI",30,19
"ITAOI",31,12
"ITAOI",32,8
"ITAOI",33,10
"ITAOI",34,12
"ITAOI",35,17
"ITAOI",36,14
"ITAOI",37,13
"ITAOI",38,12
"ITAOI",39,12
"ITAOI",40,13
"ITAOI",41,13
"ITAOI",42,13
"ITAOI",43,18
"ITAOI",44,17
"ITAOI",45,12
"ITAOI",46,11
"ITAOI",47,9
"ITAOI",48,7
"ITAOI",49,8
"ITAOI",50,9
"ITAOI",51,11
"ITAOI",52,8
"ITAOI",53,8
"ITAOI",54,7
"ITAOI",55,9
"ITAOI",56,8
"ITAOI",57,6
"ITAOI",58,9
"ITAOI",59,9
"ITAOI",60,10
"ITAOI",61,10
"ITAOI",62,8
"ITAOI",63,23
"ITAOI",64,9
"ITAOI",65,11
"ITAOI",66,9
"ITAOI",67,9
"ITAOI",68,8
"ITAOI",69,8
"ITAOI",70,10
"ITAOI",71,10
"ITAOI",72,9
"ITAOI",73,10
"ITAOI",74,9
"ITAOI",75,10
"ITAOI",76,8
"ITAOI",77,7
"ITAOI",78,6
"ITAOI",79,7
"ITAOI",80,9
"ITAOI",81,8
"ITAOI",82,11
"ITAOI",83,9
"ITAOI",84,9
"ITAOI",85,8
"ITAOI",86,10
"ITAOI",87,9
"ITAOI",88,8
"ITAOI",89,7
"ITAOI",90,8
"ITAOI",91,8
"ITAOI",92,8
"ITAOI",93,7
"ITAOI",94,8
"ITAOI",95,7
"ITAOI",96,6
"ITAOI",97,8
"ITAOI",98,6
"ITAOI",99,7
"ITAOI",100,7
"ITAOI",101,10
"ITAOI",102,5
"ITAOI",103,8
"ITAOI",104,8
"ITAOI",105,6
"TRAYT",53,8
"TRAYT",54,10
"TRAYT",55,7
"TRAYT",56,8
"TRAYT",57,7
"TRAYT",58,10
"TRAYT",59,8
"TRAYT",60,7
"TRAYT",61,7
"TRAYT",62,7
"TRAYT",63,7
"TRAYT",64,12
"TRAYT",65,10
"TRAYT",66,9
"TRAYT",67,10
"TRAYT",68,10
"TRAYT",69,10
"TRAYT",70,9
"TRAYT",71,6
"TRAYT",72,11
"TRAYT",73,10
"TRAYT",74,8
"TRAYT",75,8
"TRAYT",76,9
"TRAYT",77,8
"TRAYT",78,11
"TRAYT",79,9
"TRAYT",80,9
"TRAYT",81,9
"TRAYT",82,12
"TRAYT",83,7
"TRAYT",84,12
"TRAYT",85,8
"TRAYT",86,8
"TRAYT",87,7
"TRAYT",88,10
"TRAYT",89,7
"TRAYT",90,7
"TRAYT",91,8
"TRAYT",92,7
"TRAYT",93,7
"TRAYT",94,6
"TRAYT",95,9
"TRAYT",96,10
"TRAYT",97,8
"TRAYT",98,7
"TRAYT",99,7
"TRAYT",100,7
"TRAYT",101,7
"TRAYT",102,5
"TRAYT",103,4
"TRAYT",104,5
"TRAYT",105,7
"BEANR",1,105
"BEANR",2,114
"BEANR",3,122
"BEANR",4,112
"BEANR",5,118
"BEANR",6,114
"BEANR",7,120
"BEANR",8,118
"BEANR",9,114
"BEANR",10,111
"BEANR",11,109
"BEANR",12,108
"BEANR",13,110
"BEANR",14,107
"BEANR",15,107
"BEANR",16,105
"BEANR",17,112
"BEANR",18,105
"BEANR",19,108
"BEANR",20,110
"BEANR",21,106
"BEANR",22,105
"BEANR",23,107
"BEANR",24,109
"BEANR",25,107
"BEANR",26,107
"BEANR",27,111
"BEANR",28,108
"BEANR",29,107
"BEANR",30,109
"BEANR",31,100
"BEANR",32,77
"BEANR",33,68
"BEANR",34,74
"BEANR",35,78
"BEANR",36,79
"BEANR",37,77
"BEANR",38,86
"BEANR",39,80
"BEANR",40,73
"BEANR",41,81
"BEANR",42,75
"BEANR",43,74
"BEANR",44,69
"BEANR",45,66
"BEANR",46,72
"BEANR",47,71
"BEANR",48,76
"BEANR",49,73
"BEANR",50,77
"BEANR",51,80
"BEANR",52,75
"BEANR",53,69
"BEANR",54,71
"BEANR",55,66
"BEANR",56,71
"BEANR",57,70
"BEANR",58,74
"BEANR",59,69
"BEANR",60,68
"BEANR",61,70
"BEANR",62,71
"BEANR",63,76
"BEANR",64,72
"BEANR",65,68
"BEANR",66,72
"BEANR",67,72
"BEANR",68,70
"BEANR",69,70
"BEANR",70,69
"BEANR",71,79
"BEANR",72,68
"BEANR",73,72
"BEANR",74,77
"BEANR",75,72
"BEANR",76,77
"BEANR",77,67
"BEANR",78,70
"BEANR",79,72
"BEANR",80,66
"BEANR",81,124
"BEANR",82,129
"BEANR",83,127
"BEANR",84,126
"BEANR",85,127
"BEANR",86,126
"BEANR",87,126
"BEANR",88,127
"BEANR",89,126
"BEANR",90,129
"BEANR",91,123
"BEANR",92,126
"BEANR",93,124
"BEANR",94,128
"BEANR",95,125
"BEANR",96,127
"BEANR",97,128
"BEANR",98,128
"BEANR",99,125
"BEANR",100,124
"BE003",101,125
"BE003",102,123
"BE003",103,123
"BE003",104,120
"BE003",105,118
"DKAAR",1,24
"DKAAR",2,22
"DKAAR",3,21
"DKAAR",4,24
"DKAAR",5,20
"DKAAR",6,19
"DKAAR",7,17
"DKAAR",8,20
"DKAAR",9,21
"DKAAR",10,21
"DKAAR",11,20
"DKAAR",12,22
"DKAAR",13,22
"DKAAR",14,21
"DKAAR",15,21
"DKAAR",16,21
"DKAAR",17,23
"DKAAR",18,19
"DKAAR",19,22
"DKAAR",20,23
"DKAAR",21,21
"DKAAR",22,24
"DKAAR",23,21
"DKAAR",24,21
"DKAAR",25,21
"DKAAR",26,16
"DKAAR",27,17
"DKAAR",28,17
"DKAAR",29,17
"DKAAR",30,17
"DKAAR",31,18
"DKAAR",32,20
"DKAAR",33,17
"DKAAR",34,18
"DKAAR",35,18
"DKAAR",36,18
"DKAAR",37,17
"DKAAR",38,21
"DKAAR",39,19
"DKAAR",40,18
"DKAAR",41,18
"DKAAR",42,19
"DKAAR",43,18
"DKAAR",44,21
"DKAAR",45,18
"DKAAR",46,18
"DKAAR",47,19
"DKAAR",48,19
"DKAAR",49,18
"DKAAR",50,17
"DKAAR",51,20
"DKAAR",52,22
"DKAAR",53,16
"DKAAR",54,19
"DKAAR",55,22
"DKAAR",56,20
"DKAAR",57,32
"DKAAR",58,31
"DKAAR",59,30
"DKAAR",60,24
"DKAAR",61,23
"DKAAR",62,24
"DKAAR",63,25
"DKAAR",64,23
"DKAAR",65,23
"DKAAR",66,23
"DKAAR",67,25
"DKAAR",68,23
"DKAAR",69,22
"DKAAR",70,21
"DKAAR",71,23
"DKAAR",72,21
"DKAAR",73,24
"DKAAR",74,22
"DKAAR",75,20
"DKAAR",76,24
"DKAAR",77,21
"DKAAR",78,20
"DKAAR",79,21
"DKAAR",80,20
"DKAAR",81,19
"DKAAR",82,23
"DKAAR",83,23
"DKAAR",84,22
"DKAAR",85,19
"DKAAR",86,19
"DKAAR",87,20
"DKAAR",88,19
"DKAAR",89,19
"DKAAR",90,21
"DKAAR",91,19
"DKAAR",92,21
"DKAAR",93,22
"DKAAR",94,22
"DKAAR",95,21
"DKAAR",96,20
"DKAAR",97,21
"DKAAR",98,23
"DKAAR",99,21
"DKAAR",100,24
"DKAAR",101,21
"DKAAR",102,25
"DKAAR",103,20
"DKAAR",104,23
"DKAAR",105,20
"MEBAR",85,6
"MEBAR",86,6
"MEBAR",87,5
"MEBAR",88,7
"MEBAR",89,8
"MEBAR",90,12
"MEBAR",91,7
