"port_code","period","total_number_vessels","total_tonnage_vessels","num_small_vessels","num_medium_vessels","num_large_vessels","num_verylarge_vessels","ton_small_vessels","ton_medium_vessels","ton_large_vessels","ton_verylarge_vessels"
"BEANR",1,443,9761,118,272,53,2,542,6694,2525,502
"BEZEE",1,172,2240,122,20,30,NA,216,487,1538,NA
"DKAAL",1,12,121,6,6,NA,NA,52,70,NA,NA
"DKAAR",1,225,1379,218,4,3,NA,1170,58,149,NA
"DKCPH",1,98,413,98,NA,NA,NA,412,NA,NA,NA
"DKFRC",1,1,12,NA,1,NA,NA,NA,12,NA,NA
"DKRNN",1,3,26,3,NA,NA,NA,26,NA,NA,NA
"FIHEL",1,59,432,59,NA,NA,NA,432,NA,NA,NA
"FIHKO",1,6,18,6,NA,NA,NA,18,NA,NA,NA
"FIHMN",1,10,44,10,NA,NA,NA,44,NA,NA,NA
"FIKTK",1,10,29,10,NA,NA,NA,29,NA,NA,NA
"FIPOR",1,11,39,11,NA,NA,NA,39,NA,NA,NA
"FIPRS",1,1,3,1,NA,NA,NA,3,NA,NA,NA
"FIRAU",1,14,49,14,NA,NA,NA,49,NA,NA,NA
"FITKU",1,2,6,2,NA,NA,NA,6,NA,NA,NA
"IEDUB",1,325,1262,316,9,NA,NA,1131,132,NA,NA
"IEORK",1,92,417,92,NA,NA,NA,416,NA,NA,NA
"NLAMS",1,51,1298,3,48,NA,NA,24,1274,NA,NA
"NLDOR",1,14,40,14,NA,NA,NA,40,NA,NA,NA
"NLRTM",1,1083,25283,535,223,325,NA,2572,5538,17173,NA
"NLVLI",1,1,16,NA,1,NA,NA,NA,16,NA,NA
"SEGVX",1,5,13,5,NA,NA,NA,13,NA,NA,NA
"SEHEL",1,22,98,22,NA,NA,NA,98,NA,NA,NA
"SEMMA",1,15,55,15,NA,NA,NA,55,NA,NA,NA
"SENRK",1,7,18,7,NA,NA,NA,18,NA,NA,NA
"SESTO",1,7,18,7,NA,NA,NA,18,NA,NA,NA
"SEUME",1,1,2,1,NA,NA,NA,2,NA,NA,NA
"SEGOT",1,49,1060,34,4,11,NA,135,105,820,NA
"SEVAG",1,10,58,10,NA,NA,NA,58,NA,NA,NA
"BEANR",2,435,10507,107,255,72,1,574,6217,3445,289
"BEZEE",2,187,2616,127,27,33,NA,218,709,1688,NA
"DKAAL",2,13,143,2,11,NA,NA,16,128,NA,NA
"DKAAR",2,231,1253,226,5,NA,NA,1172,78,NA,NA
"DKCPH",2,100,405,100,NA,NA,NA,405,NA,NA,NA
"DKRNN",2,6,47,6,NA,NA,NA,47,NA,NA,NA
"FIHEL",2,76,550,76,NA,NA,NA,551,NA,NA,NA
"FIHKO",2,3,9,3,NA,NA,NA,9,NA,NA,NA
"FIHMN",2,18,103,18,NA,NA,NA,103,NA,NA,NA
"FIKEM",2,1,3,1,NA,NA,NA,3,NA,NA,NA
"FIKTK",2,11,36,11,NA,NA,NA,35,NA,NA,NA
"FIRAU",2,10,36,10,NA,NA,NA,36,NA,NA,NA
"IEDUB",2,360,1321,352,8,NA,NA,1208,114,NA,NA
"IEORK",2,112,460,112,NA,NA,NA,460,NA,NA,NA
"NLAMS",2,24,475,2,22,NA,NA,20,456,NA,NA
"NLDOR",2,20,56,20,NA,NA,NA,56,NA,NA,NA
"NLMOE",2,1,3,1,NA,NA,NA,3,NA,NA,NA
"NLRTM",2,1230,29167,584,295,351,NA,2797,7793,18575,NA
"NLVLA",2,2,6,2,NA,NA,NA,6,NA,NA,NA
"NLVLI",2,1,16,NA,1,NA,NA,NA,16,NA,NA
"SEGVX",2,10,27,10,NA,NA,NA,27,NA,NA,NA
"SEHEL",2,23,85,23,NA,NA,NA,85,NA,NA,NA
"SEKAN",2,3,7,3,NA,NA,NA,7,NA,NA,NA
